date,sunrise,sunset,hour,temperature,heat_index,feels_like,precipitation,weather_description
2018-04-03,07:18 AM,07:51 PM,0,61,63,62,0.0,Partly cloudy
2018-04-03,07:18 AM,07:51 PM,100,61,62,61,0.0,Partly cloudy
2018-04-03,07:18 AM,07:51 PM,200,60,61,60,0.2,Moderate rain at times
2018-04-03,07:18 AM,07:51 PM,300,59,60,59,0.3,Moderate rain at times
2018-04-03,07:18 AM,07:51 PM,400,59,60,59,0.1,Moderate rain at times
2018-04-03,07:18 AM,07:51 PM,500,59,60,59,0.0,Cloudy
2018-04-03,07:18 AM,07:51 PM,600,58,60,59,0.0,Cloudy
2018-04-03,07:18 AM,07:51 PM,700,61,62,61,0.0,Cloudy
2018-04-03,07:18 AM,07:51 PM,800,63,65,64,0.0,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,900,66,68,66,0.0,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,1000,68,70,68,0.0,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,1100,71,73,71,0.0,Cloudy
2018-04-03,07:18 AM,07:51 PM,1200,73,76,76,0.0,Cloudy
2018-04-03,07:18 AM,07:51 PM,1300,74,76,76,0.0,Cloudy
2018-04-03,07:18 AM,07:51 PM,1400,74,76,76,0.1,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,1500,75,77,77,0.1,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,1600,73,75,75,0.1,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,1700,72,74,74,0.0,Partly cloudy
2018-04-03,07:18 AM,07:51 PM,1800,71,73,70,0.0,Partly cloudy
2018-04-03,07:18 AM,07:51 PM,1900,69,71,68,0.0,Partly cloudy
2018-04-03,07:18 AM,07:51 PM,2000,67,68,67,0.0,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,2100,65,66,65,0.0,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,2200,64,65,63,0.0,Patchy rain possible
2018-04-03,07:18 AM,07:51 PM,2300,63,64,62,0.0,Partly cloudy
2018-04-04,07:17 AM,07:52 PM,0,62,63,61,0.0,Partly cloudy
2018-04-04,07:17 AM,07:52 PM,100,61,62,60,0.0,Partly cloudy
2018-04-04,07:17 AM,07:52 PM,200,60,60,58,0.0,Patchy rain possible
2018-04-04,07:17 AM,07:52 PM,300,59,59,57,0.0,Patchy rain possible
2018-04-04,07:17 AM,07:52 PM,400,58,59,57,0.0,Patchy rain possible
2018-04-04,07:17 AM,07:52 PM,500,58,59,56,0.0,Partly cloudy
2018-04-04,07:17 AM,07:52 PM,600,57,58,56,0.0,Partly cloudy
2018-04-04,07:17 AM,07:52 PM,700,59,60,58,0.0,Partly cloudy
